Measurement Started:	2024/08/28 11:57:14

Operator:	Operator_2d226185_e3f33b7d
Diaphragm:	1
Thikness:	1
Porosity:	1
Electrolyte:	1
Electrodes:	1
Electrodes Area [cm²]:	19.250

Measurement Setup:
Current Density Mode:	Constant
Value [mA/cm²]:	NAN
Pump Speed Mode:	Constant
Value [ml/min]:	NAN
Experiment Running Time [h]:	10.00

Measurement Data:
TimeStamp	Voltage [V]	H2 Flow	O2 Flow	H2 Purity [%]	O2 Purity [%]	Current [A]	H2 Pressure [bar]	O2 Pressure [bar]	SetPressure [bar]	Cathode Temp [°C]	Anode Temp [°C]	Cell Inlet Temp [°C]	[H2 Level [%]	O2 Level [%]
2024/08/28 11:57:37	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	0.0000	0.0000
2024/08/28 11:57:38	0.0250	0.0000	0.0000	0.0000	99.3387	0.0000	0.0591	0.0098	NaN	25.7061	25.4246	25.6101	0.7768	0.0000
2024/08/28 11:57:39	0.0250	0.0000	0.0000	0.0000	99.3390	0.0000	0.0540	0.0029	NaN	25.7039	25.4257	25.6249	0.6601	0.0000
2024/08/28 11:57:40	0.0249	0.0000	0.0000	0.0000	99.3383	0.0000	0.0690	0.0202	NaN	25.7064	25.4330	25.6319	0.8528	0.0000
2024/08/28 11:57:41	0.0249	0.0000	0.0000	0.0000	99.3383	0.0000	0.0568	0.0095	NaN	25.7070	25.4381	25.6230	0.5528	0.0000
2024/08/28 11:57:42	0.0250	0.0000	0.0000	0.0000	99.3384	0.0000	0.0599	0.0093	0.0000	25.7029	25.4386	25.6167	0.6509	0.0000
2024/08/28 11:57:43	0.0249	0.0000	0.0000	0.0000	99.3380	0.0000	0.0520	0.0010	0.0000	25.7008	25.4348	25.6147	0.5953	0.0000
2024/08/28 11:57:44	0.0250	0.0000	0.0000	0.0000	99.3383	0.0000	0.0612	0.0072	0.0000	25.7084	25.4277	25.6111	0.5599	0.0000
2024/08/28 11:57:45	0.0248	0.0000	0.0000	0.0000	99.3383	0.0000	0.0551	0.0110	0.0000	25.6980	25.4299	25.6256	0.7777	0.0000
2024/08/28 11:57:46	0.0251	0.0000	0.0000	0.0000	99.3384	0.0000	0.0626	0.0128	0.0000	25.6915	25.4356	25.6089	0.7497	0.0000
2024/08/28 11:57:47	0.0251	0.0000	0.0000	0.0000	99.3386	0.0000	0.0321	0.0097	0.0000	25.7040	25.4377	25.6123	0.7112	0.0000
2024/08/28 11:57:48	0.0250	0.0000	0.0000	0.0000	99.3384	0.0000	0.0646	0.0126	0.0000	25.6964	25.4382	25.6136	0.7871	0.0000
2024/08/28 11:57:49	0.0251	0.0000	0.0000	0.0000	99.3384	0.0000	0.0540	0.0011	0.0000	25.7158	25.4254	25.6035	0.7106	0.0000
2024/08/28 11:57:50	0.0249	0.0000	0.0000	0.0000	99.3385	0.0000	0.0563	0.0000	0.0000	25.7103	25.4422	25.6196	0.6951	0.0000
2024/08/28 11:57:51	0.0250	0.0000	0.0000	0.0000	99.3386	0.0000	0.0533	0.0000	0.0000	25.7133	25.4189	25.6019	0.7057	0.0000
2024/08/28 11:57:52	0.0250	0.0000	0.0000	0.0000	99.3381	0.0000	0.0654	0.0044	0.0000	25.6932	25.4036	25.6129	0.6208	0.0000
2024/08/28 11:57:53	0.0251	0.0000	0.0000	0.0000	99.3383	0.0000	0.0460	0.0026	0.0000	25.7068	25.4171	25.6189	0.5701	0.0000
2024/08/28 11:57:54	0.0249	0.0000	0.0000	0.0000	99.3385	0.0000	0.0586	0.0000	5.0000	25.7004	25.4256	25.6053	0.6587	0.0000
2024/08/28 11:57:54	0.0250	0.0000	0.0000	0.0000	99.3384	0.0000	0.0588	0.0029	5.0000	25.7043	25.4080	25.6024	0.7754	0.0000
2024/08/28 11:57:55	0.0249	0.0000	0.0000	0.0000	99.3385	0.0000	0.0594	0.0064	5.0000	25.7007	25.4151	25.6100	0.6863	0.0000
2024/08/28 11:57:56	0.0250	0.0000	0.0000	0.0000	99.3384	0.0000	0.0549	0.0009	5.0000	25.6769	25.4029	25.5907	0.5804	0.0000
2024/08/28 11:57:57	0.0249	0.0000	0.0000	0.0000	99.3384	0.0000	0.0730	0.0060	5.0000	25.6882	25.4091	25.6141	0.6467	0.0000
2024/08/28 11:57:58	0.0250	0.0000	0.0000	0.0000	99.3390	0.0000	0.0737	0.0101	5.0000	25.6967	25.4186	25.5925	0.5898	0.0000
2024/08/28 11:57:59	0.0249	0.0000	0.0000	0.0000	99.3382	0.0000	0.0656	0.0104	5.0000	25.6766	25.4015	25.6127	0.6990	0.0000
2024/08/28 11:58:00	0.1072	0.0000	0.0000	0.0000	99.3387	0.0000	0.0608	0.0000	5.0000	25.6906	25.4223	25.5843	0.7088	0.0000
2024/08/28 11:58:01	0.1762	0.0000	0.0000	0.0000	99.3386	0.0000	0.0685	0.0244	5.0000	25.7004	25.4278	25.5379	0.7077	0.0000
2024/08/28 11:58:02	0.1705	0.0000	0.0000	0.0000	99.3380	0.0000	0.0760	0.0000	5.0000	25.6915	25.5166	25.4417	0.6871	0.0000
2024/08/28 11:58:03	0.1801	0.0000	0.0000	0.0000	99.3387	0.0000	0.0726	0.0031	5.0000	25.7016	25.5638	25.3485	0.7788	0.0000
