Measurement Started:	2024/10/03 11:14:45

Operator:	Operator_2d226185_e3f33b7d
Diaphragm:	1
Thikness:	1
Porosity:	1
Electrolyte:	1
Electrodes:	1
Electrodes Area [cm²]:	19.250

Measurement Setup:
Current Density Mode:	Constant
Value [mA/cm²]:	NAN
Pump Speed Mode:	Constant
Value [ml/min]:	NAN
Experiment Running Time [h]:	10.00

Measurement Data:
TimeStamp	Voltage [V]	H2 Flow	O2 Flow	H2 Purity [%]	O2 Purity [%]	Current [A]	H2 Pressure [bar]	O2 Pressure [bar]	SetPressure [bar]	Cathode Temp [°C]	Anode Temp [°C]	Cell Inlet Temp [°C]	[H2 Level [%]	O2 Level [%]
2024/10/03 11:14:52	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	0.0000	0.0000
2024/10/03 11:14:53	0.0426	0.0000	0.0000	0.0000	0.0000	0.0000	0.0456	0.0131	NaN	23.4189	23.3900	23.3820	0.8834	0.0000
2024/10/03 11:14:54	0.0429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0735	0.0000	NaN	23.4198	23.3848	23.3747	1.0241	0.0000
2024/10/03 11:14:57	0.0366	0.0000	0.0000	0.0000	0.0000	0.0000	0.0422	0.0287	NaN	23.4292	23.3934	23.3832	1.3987	0.0000
2024/10/03 11:14:58	0.0365	0.0000	0.0000	0.0000	0.0000	0.0000	0.0662	0.0028	NaN	23.4327	23.3844	23.3725	0.9326	0.0000
2024/10/03 11:14:59	0.0366	0.0000	0.0000	0.0000	0.0000	0.0000	0.0549	0.0000	NaN	23.4330	23.4020	23.3982	0.9553	0.0000
2024/10/03 11:15:00	0.0363	0.0000	0.0000	0.0000	0.0000	0.0000	0.0660	0.0129	NaN	23.4350	23.4040	23.3905	1.0290	0.0000
2024/10/03 11:15:01	0.0364	0.0000	0.0000	0.0000	0.0000	0.0000	0.0755	0.0118	NaN	23.4373	23.3953	23.4003	1.0619	0.0000
2024/10/03 11:15:02	0.0362	0.0000	0.0000	0.0000	0.0000	0.0000	0.0608	0.0050	NaN	23.4345	23.4081	23.3915	1.2651	0.0000
2024/10/03 11:15:03	0.0370	0.0000	0.0000	0.0000	0.0000	0.0000	0.0638	0.0164	0.0000	23.4355	23.4101	23.4006	1.2189	0.0000
2024/10/03 11:15:05	0.0386	0.0000	0.0000	0.0000	0.0000	0.0000	0.0671	0.0041	0.0000	23.4439	23.4172	23.4060	1.1981	0.0000
2024/10/03 11:15:06	0.0432	0.0000	0.0000	0.0000	0.0000	0.0000	0.0813	0.0000	0.0000	23.4332	23.4417	23.3996	1.1934	0.0000
2024/10/03 11:15:07	0.0425	0.0000	0.0000	0.0000	0.0000	0.0000	0.0802	0.0000	0.0000	23.4445	23.4098	23.4115	1.1618	0.0000
2024/10/03 11:15:08	0.0427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0675	0.0145	0.0000	23.4497	23.4202	23.4160	1.1047	0.0000
2024/10/03 11:15:09	0.0411	0.0000	0.0000	0.0000	0.0000	0.0000	0.0656	0.0044	0.0000	23.4650	23.4164	23.4039	1.0450	0.0000
2024/10/03 11:15:09	0.0405	0.0000	0.0000	0.0000	0.0000	0.0000	0.0765	0.0125	0.0000	23.4609	23.4404	23.3986	1.1135	0.0000
2024/10/03 11:15:10	0.0398	0.0000	0.0000	0.0000	0.0000	0.0000	0.0678	0.0040	0.0000	23.4609	23.4262	23.4149	0.9622	0.0000
2024/10/03 11:15:11	0.0332	0.0000	0.0000	0.0000	0.0000	0.0000	0.0541	0.0130	0.0000	23.4493	23.4131	23.4077	1.1806	0.0000
2024/10/03 11:15:12	0.0324	0.0000	0.0000	0.0000	0.0000	0.0000	0.0504	0.0008	0.0000	23.4423	23.4295	23.4188	1.2989	0.0000
2024/10/03 11:15:13	0.0371	0.0000	0.0000	0.0000	0.0000	0.0000	0.0490	0.0046	0.0000	23.4699	23.4241	23.4214	1.2150	0.0000
2024/10/03 11:15:14	0.0365	0.0000	0.0000	0.0000	0.0000	0.0000	0.0670	0.0152	0.0000	23.4651	23.4145	23.4225	1.1723	0.0000
2024/10/03 11:15:15	0.0428	0.0000	0.0000	0.0000	0.0000	0.0000	0.0383	0.0000	0.0000	23.4565	23.4208	23.4241	1.2943	0.0000
2024/10/03 11:15:16	0.0429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0640	0.0191	5.0000	23.4614	23.4209	23.4197	1.3091	0.0000
2024/10/03 11:15:17	0.0408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0548	0.0021	5.0000	23.4545	23.4206	23.4222	1.2347	0.0000
2024/10/03 11:15:18	0.0404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0583	0.0109	5.0000	23.4607	23.4318	23.4163	1.1808	0.0000
2024/10/03 11:15:19	0.0332	0.0000	0.0000	0.0000	0.0000	0.0000	0.0620	0.0102	5.0000	23.4578	23.4286	23.3965	1.3536	0.0000
2024/10/03 11:15:20	0.0330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0539	0.0172	5.0000	23.4575	23.4214	23.4064	1.4324	0.0000
2024/10/03 11:15:21	0.0373	0.0000	0.0000	0.0000	0.0000	0.0000	0.0526	0.0000	5.0000	23.4551	23.4204	23.4204	1.5832	0.0000
