record_ID,cycle,step_ID,step_name,time_in_step,voltage_V,current_mA,capacity_mAh,energy_mWh,timestamp,Validated,DCIR(mOhm)
1,1,1,CC_Chg,0.0,1.5197632,6094.8906,0.0,0.0,2024-09-23 14:46:17.000000000,True,-1.0
2,1,1,CC_Chg,900.0,1.5197632,6094.8906,0.1693025,0.25729975,2024-09-23 14:46:17.000000000,True,-1.0
3,1,1,CC_Chg,0.2,1.5910836,6095.4937,0.3386218,0.52670085,2024-09-23 14:46:17.000000000,True,-1.0
4,1,1,CC_Chg,0.4,1.6540493,6097.6953,0.67736137,1.0795064,2024-09-23 14:46:18.000000000,True,-1.0
5,1,1,CC_Chg,0.5,1.6981846,6098.1387,0.846754,1.3671666,2024-09-23 14:46:18.000000000,True,-1.0
6,1,1,CC_Chg,0.63,1.7422334,6098.415,1.0161468,1.6548268,2024-09-23 14:46:18.100000000,True,-1.0
7,1,1,CC_Chg,0.77,1.7799203,6098.615,1.242014,2.04834,2024-09-23 14:46:18.233333333,True,-1.0
8,1,1,CC_Chg,0.9,1.8301004,6098.896,1.5243845,2.5803208,2024-09-23 14:46:18.000000000,True,-1.0
9,1,1,CC_Chg,1.15,1.8621088,6099.0713,1.7502695,2.9937131,2024-09-23 14:46:18.133333333,True,-1.0
10,1,1,CC_Chg,1.4,1.8957621,6099.2373,2.371485,4.167158,2024-09-23 14:46:19.000000000,True,-1.0
11,1,1,CC_Chg,1.8,1.9285215,6099.3696,3.0491881,5.466967,2024-09-23 14:46:19.000000000,True,-1.0
12,1,1,CC_Chg,2.8,1.958545,6099.5747,4.7434897,8.770252,2024-09-23 14:46:20.000000000,True,-1.0
13,1,1,CC_Chg,10.0,1.9840889,6099.891,16.943113,32.88753,2024-09-23 14:46:27.000000000,True,-1.0
14,1,1,CC_Chg,20.0,1.9904219,6099.4624,33.886433,66.55466,2024-09-23 14:46:37.000000000,True,-1.0
15,1,1,CC_Chg,30.0,1.9991981,6099.785,50.829384,100.27828,2024-09-23 14:46:47.000000000,True,-1.0
16,1,1,CC_Chg,40.0,1.9973246,6099.824,67.77323,134.15239,2024-09-23 14:46:57.000000000,True,-1.0
17,1,1,CC_Chg,50.0,2.0012066,6099.598,84.717186,167.99496,2024-09-23 14:47:07.000000000,True,-1.0
18,1,1,CC_Chg,60.0,2.0047996,6099.6006,101.660515,201.90207,2024-09-23 14:47:17.000000000,True,-1.0
19,1,1,CC_Chg,70.0,2.0066998,6099.906,118.60385,235.87006,2024-09-23 14:47:27.000000000,True,-1.0
20,1,1,CC_Chg,80.0,2.009746,6099.5815,135.54803,269.87195,2024-09-23 14:47:37.000000000,True,-1.0
21,1,1,CC_Chg,90.0,2.0095255,6099.572,152.49142,304.02878,2024-09-23 14:47:47.000000000,True,-1.0
22,1,1,CC_Chg,100.0,2.0145,6099.871,169.43468,338.0767,2024-09-23 14:47:57.000000000,True,-1.0
23,1,1,CC_Chg,110.0,2.0155826,6099.5967,186.37877,372.21057,2024-09-23 14:48:07.000000000,True,-1.0
24,1,1,CC_Chg,120.0,2.0193663,6099.5396,203.32208,406.36124,2024-09-23 14:48:17.000000000,True,-1.0
25,1,1,CC_Chg,130.0,2.0191963,6099.852,220.26526,440.57568,2024-09-23 14:48:27.000000000,True,-1.0
26,1,1,CC_Chg,140.0,2.0199585,6099.8447,237.20929,474.789,2024-09-23 14:48:37.000000000,True,-1.0
27,1,1,CC_Chg,150.0,2.016013,6099.6196,254.1533,509.0152,2024-09-23 14:48:47.000000000,True,-1.0
28,1,1,CC_Chg,160.0,2.0174747,6099.583,271.09702,543.2241,2024-09-23 14:48:57.000000000,True,-1.0
29,1,1,CC_Chg,170.0,2.0182164,6099.6235,288.0403,577.40674,2024-09-23 14:49:07.000000000,True,-1.0
30,1,1,CC_Chg,180.0,2.019396,6099.6895,304.9837,611.6022,2024-09-23 14:49:17.000000000,True,-1.0
31,1,1,CC_Chg,190.0,2.019482,6099.836,321.92728,645.818,2024-09-23 14:49:27.000000000,True,-1.0
32,1,1,CC_Chg,200.0,2.0225308,6099.8623,338.87128,680.0361,2024-09-23 14:49:37.000000000,True,-1.0
33,1,1,CC_Chg,210.0,2.0196698,6099.8813,355.8153,714.3059,2024-09-23 14:49:47.000000000,True,-1.0
34,1,1,CC_Chg,220.0,2.0225258,6099.5557,372.75943,748.52747,2024-09-23 14:49:57.000000000,True,-1.0
35,1,1,CC_Chg,230.0,2.0217545,6099.605,389.7027,782.847,2024-09-23 14:50:07.000000000,True,-1.0
36,1,1,CC_Chg,240.0,2.0254536,6099.8506,406.64606,817.1023,2024-09-23 14:50:17.000000000,True,-1.0
37,1,1,CC_Chg,250.0,2.0234444,6099.91,423.5901,851.42163,2024-09-23 14:50:27.000000000,True,-1.0
38,1,1,CC_Chg,260.0,2.0255866,6099.9395,440.5343,885.7073,2024-09-23 14:50:37.000000000,True,-1.0
39,1,1,CC_Chg,270.0,2.026713,6099.8594,457.47855,920.0294,2024-09-23 14:50:47.000000000,True,-1.0
40,1,1,CC_Chg,280.0,2.025832,6099.919,474.4226,954.37006,2024-09-23 14:50:57.000000000,True,-1.0
41,1,1,CC_Chg,290.0,2.027296,6099.9175,491.36682,988.6963,2024-09-23 14:51:07.000000000,True,-1.0
42,1,1,CC_Chg,300.0,2.0229878,6099.7227,508.31122,1022.8572,2024-09-23 14:51:17.000000000,True,-1.0
43,1,1,CC_Chg,310.0,2.0230744,6099.5903,525.2549,1057.134,2024-09-23 14:51:27.000000000,True,-1.0
44,1,1,CC_Chg,320.0,2.0236406,6099.6484,542.1982,1091.4116,2024-09-23 14:51:37.000000000,True,-1.0
45,1,1,CC_Chg,330.0,2.0269783,6099.5527,559.14166,1125.6992,2024-09-23 14:51:47.000000000,True,-1.0
46,1,1,CC_Chg,340.0,2.0251012,6099.595,576.08484,1160.0426,2024-09-23 14:51:57.000000000,True,-1.0
47,1,1,CC_Chg,350.0,2.024747,6099.5396,593.0282,1194.3545,2024-09-23 14:52:07.000000000,True,-1.0
48,1,1,CC_Chg,360.0,2.0240178,6099.6284,609.9714,1228.6603,2024-09-23 14:52:17.000000000,True,-1.0
49,1,1,CC_Chg,370.0,2.0271046,6099.6514,626.91437,1263.0051,2024-09-23 14:52:27.000000000,True,-1.0
50,1,1,CC_Chg,380.0,2.0276406,6099.6387,643.85785,1297.3513,2024-09-23 14:52:37.000000000,True,-1.0
51,1,1,CC_Chg,390.0,2.0269492,6099.647,660.8013,1331.7065,2024-09-23 14:52:47.000000000,True,-1.0
52,1,1,CC_Chg,400.0,2.0284762,6099.72,677.74475,1366.0502,2024-09-23 14:52:57.000000000,True,-1.0
53,1,1,CC_Chg,410.0,2.032702,6099.579,694.6884,1400.4199,2024-09-23 14:53:07.000000000,True,-1.0
54,1,1,CC_Chg,420.0,2.0272288,6099.6455,711.6317,1434.8606,2024-09-23 14:53:17.000000000,True,-1.0
55,1,1,CC_Chg,430.0,2.0286784,6099.9536,728.5752,1469.2089,2024-09-23 14:53:27.000000000,True,-1.0
56,1,1,CC_Chg,440.0,2.027712,6099.9507,745.5199,1503.5358,2024-09-23 14:53:37.000000000,True,-1.0
57,1,1,CC_Chg,450.0,2.0274334,6099.958,762.4642,1537.8939,2024-09-23 14:53:47.000000000,True,-1.0
58,1,1,CC_Chg,460.0,2.0269213,6099.7036,779.4085,1572.2474,2024-09-23 14:53:57.000000000,True,-1.0
59,1,1,CC_Chg,470.0,2.0311186,6099.5874,796.3521,1606.5907,2024-09-23 14:54:07.000000000,True,-1.0
60,1,1,CC_Chg,480.0,2.0314522,6099.605,813.2954,1641.0045,2024-09-23 14:54:17.000000000,True,-1.0
61,1,1,CC_Chg,490.0,2.0269654,6099.6035,830.2388,1675.4242,2024-09-23 14:54:27.000000000,True,-1.0
