record_ID,cycle,step_ID,step_name,time_in_step,voltage_V,current_mA,capacity_mAh,energy_mWh,timestamp,Validated,DCIR(mOhm)
1,1,1,CC_Chg,0.0,0.563,6096.14,0.0,0.0,2024-08-12 10:42:07,False,-1.0
2,1,1,CC_Chg,0.1,0.563,6096.14,0.16933611,0.09533611,2024-08-12 10:42:07,False,-1.0
3,1,1,CC_Chg,0.3,0.5993,6098.0903,0.50808054,0.296025,2024-08-12 10:42:07,False,-1.0
4,1,1,CC_Chg,0.5,0.657,6099.27,0.8469167,0.51389724,2024-08-12 10:42:07,False,-1.0
5,1,1,CC_Chg,0.6,0.6929,6099.55,1.01635,0.63129723,2024-08-12 10:42:08,False,-1.0
6,1,1,CC_Chg,0.7,0.7457,6099.74,1.1857861,0.7576444,2024-08-12 10:42:08,False,-1.0
7,1,1,CC_Chg,0.8,0.8309,6099.89,1.3552278,0.8984333,2024-08-12 10:42:08,False,-1.0
8,1,1,CC_Chg,0.9,0.9418,6100.0,1.5246723,1.0580167,2024-08-12 10:42:08,False,-1.0
9,1,1,CC_Chg,1.0,1.069,6100.09,1.6941195,1.2391555,2024-08-12 10:42:08,False,-1.0
10,1,1,CC_Chg,1.1,1.2102,6100.16,1.8635666,1.4442222,2024-08-12 10:42:08,False,-1.0
11,1,1,CC_Chg,1.2,1.3721,6100.23,2.0330195,1.6767278,2024-08-12 10:42:08,False,-1.0
12,1,1,CC_Chg,1.3,1.5873,6100.29,2.2024722,1.9457,2024-08-12 10:42:08,True,-1.0
13,1,1,CC_Chg,1.4,1.7137,6100.33,2.3719249,2.2360919,2024-08-12 10:42:08,True,-1.0
14,1,1,CC_Chg,1.5,1.7761,6100.37,2.5413804,2.5370612,2024-08-12 10:42:08,True,-1.0
15,1,1,CC_Chg,1.7,1.8423,6100.43,2.8802917,3.1551168,2024-08-12 10:42:09,True,-1.0
16,1,1,CC_Chg,1.8,1.8789,6100.46,3.04975,3.4735112,2024-08-12 10:42:09,True,-1.0
17,1,1,CC_Chg,2.1,1.9141,6100.5303,3.558125,4.4432693,2024-08-12 10:42:09,True,-1.0
