Measurement Started:	2024/09/12 09:24:16

Operator:	Operator_2d226185_e3f33b7d
Diaphragm:	1
Thikness:	1
Porosity:	1
Electrolyte:	1
Electrodes:	1
Electrodes Area [cm²]:	19.250

Measurement Setup:
Current Density Mode:	Constant
Value [mA/cm²]:	NAN
Pump Speed Mode:	Constant
Value [ml/min]:	NAN
Experiment Running Time [h]:	10.00

Measurement Data:
TimeStamp	Voltage [V]	H2 Flow	O2 Flow	H2 Purity [%]	O2 Purity [%]	Current [A]	H2 Pressure [bar]	O2 Pressure [bar]	SetPressure [bar]	Cathode Temp [°C]	Anode Temp [°C]	Cell Inlet Temp [°C]	[H2 Level [%]	O2 Level [%]
2024/09/12 09:24:21	NaN	0.2934	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NaN	NaN	NaN	NaN	0.0000	0.0000
2024/09/12 09:24:22	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0637	0.0242	NaN	24.3534	24.7225	25.0229	1.2207	0.0000
2024/09/12 09:24:23	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0507	0.0000	NaN	24.3303	24.7212	25.0117	1.1539	0.0000
2024/09/12 09:24:26	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0804	0.0131	NaN	24.3409	24.7263	25.0140	1.2204	0.0000
2024/09/12 09:24:27	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0409	0.0000	NaN	24.3273	24.7313	24.9978	1.0515	0.0000
2024/09/12 09:24:28	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0548	0.0156	0.0000	24.3340	24.7344	25.0017	1.0370	0.0000
2024/09/12 09:24:29	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0647	0.0000	0.0000	24.3411	24.7340	25.0124	1.2032	0.0000
2024/09/12 09:24:30	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0362	0.0033	0.0000	24.3367	24.7379	25.0116	1.1140	0.0000
2024/09/12 09:24:31	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0581	0.0001	0.0000	24.3373	24.7312	25.0050	1.0828	0.0000
2024/09/12 09:24:32	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0512	0.0053	0.0000	24.3373	24.7293	25.0116	1.0063	0.0000
2024/09/12 09:24:33	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0587	0.0138	0.0000	24.3469	24.7378	25.0097	1.0248	0.0000
2024/09/12 09:24:35	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0562	0.0000	0.0000	24.3300	24.7214	24.9952	1.0604	0.0000
2024/09/12 09:24:35	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0559	0.0099	0.0000	24.3339	24.7253	25.0019	1.0945	0.0000
2024/09/12 09:24:36	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0434	0.0028	5.0000	24.3320	24.7134	24.9980	1.1907	0.0000
2024/09/12 09:24:37	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0469	0.0068	5.0000	24.3410	24.7200	24.9960	1.0866	0.0000
2024/09/12 09:24:38	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0558	0.0094	5.0000	24.3426	24.7180	24.9904	1.0239	0.0000
2024/09/12 09:24:39	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0461	0.0000	5.0000	24.3480	24.7280	24.9814	1.0104	0.0000
2024/09/12 09:24:40	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0701	0.0109	5.0000	24.3434	24.7498	24.9977	1.0856	0.0000
2024/09/12 09:24:41	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0385	0.0000	5.0000	24.3374	24.7494	24.9955	1.0773	0.0000
2024/09/12 09:24:42	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0471	0.0167	5.0000	24.3334	24.7379	24.9875	1.1119	0.0000
2024/09/12 09:24:43	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0563	0.0000	5.0000	24.3277	24.7473	24.9967	1.1564	0.0000
2024/09/12 09:24:44	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0462	0.0153	5.0000	24.3267	24.7395	24.9961	1.0669	0.0000
2024/09/12 09:24:45	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0636	0.0085	5.0000	24.3063	24.7433	24.9969	1.1788	0.0000
2024/09/12 09:24:46	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0425	0.0043	5.0000	24.3336	24.7550	24.9804	1.0728	0.0000
2024/09/12 09:24:47	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0599	0.0056	5.0000	24.3195	24.7460	24.9918	1.0692	0.0000
2024/09/12 09:24:48	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0490	0.0071	5.0000	24.3139	24.7315	24.9804	1.1720	0.0000
2024/09/12 09:24:49	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0622	0.0137	5.0000	24.3338	24.7252	24.9889	1.1190	0.0000
2024/09/12 09:24:49	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0519	0.0056	5.0000	24.3292	24.7355	24.9643	1.1912	0.0000
2024/09/12 09:24:50	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0425	0.0143	5.0000	24.3184	24.7385	24.9720	1.1417	0.0000
2024/09/12 09:24:51	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0528	0.0036	5.0000	24.3124	24.7185	24.9851	1.1270	0.0000
2024/09/12 09:24:52	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0462	0.0067	5.0000	24.3212	24.7298	24.9628	1.1979	0.0000
2024/09/12 09:24:53	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0669	0.0000	5.0000	24.3120	24.7234	24.9564	1.1689	0.0000
2024/09/12 09:24:54	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0425	0.0158	5.0000	24.3137	24.7163	24.9781	1.1594	0.0000
2024/09/12 09:24:55	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0608	0.0000	5.0000	24.2968	24.7227	24.9540	1.0904	0.0000
2024/09/12 09:24:56	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0533	0.0078	5.0000	24.2925	24.7207	24.9638	1.1048	0.0000
2024/09/12 09:24:57	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0455	0.0000	5.0000	24.2908	24.7161	24.9549	1.1686	0.0000
2024/09/12 09:24:58	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0482	0.0003	5.0000	24.2917	24.7116	24.9458	1.0854	0.0000
2024/09/12 09:24:59	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0591	0.0000	5.0000	24.2989	24.7208	24.9497	1.0139	0.0000
2024/09/12 09:24:59	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0629	0.0042	5.0000	24.2766	24.7054	24.9420	1.1225	0.0000
2024/09/12 09:25:00	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0473	0.0000	5.0000	24.2883	24.7081	24.9393	1.1584	0.0000
2024/09/12 09:25:01	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0766	0.0220	5.0000	24.2923	24.7035	24.9367	1.1079	0.0000
2024/09/12 09:25:02	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0665	0.0000	5.0000	24.2776	24.7014	24.9494	1.0904	0.0000
2024/09/12 09:25:03	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0572	0.0047	5.0000	24.2915	24.7047	24.9222	1.0794	0.0000
2024/09/12 09:25:04	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0632	0.0146	5.0000	24.2844	24.7098	24.9270	1.1327	0.0000
2024/09/12 09:25:05	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0345	0.0008	5.0000	24.2851	24.7188	24.9232	1.1555	0.0000
2024/09/12 09:25:06	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0649	0.0088	5.0000	24.2782	24.7117	24.9301	1.0572	0.0000
2024/09/12 09:25:07	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0676	0.0036	5.0000	24.2831	24.7132	24.9039	1.0722	0.0000
2024/09/12 09:25:08	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0567	0.0019	5.0000	24.3125	24.6940	24.9093	1.1867	0.0000
2024/09/12 09:25:08	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0493	0.0000	5.0000	24.3356	24.6774	24.9165	1.1098	0.0000
2024/09/12 09:25:09	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0558	0.0081	5.0000	24.3501	24.6681	24.9223	1.3338	0.0000
2024/09/12 09:25:10	0.0246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0612	0.0042	5.0000	24.3513	24.6712	24.9221	1.1624	0.0000
2024/09/12 09:25:11	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0739	0.0198	5.0000	24.3506	24.6637	24.9231	0.9558	0.0000
2024/09/12 09:25:12	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0409	0.0123	5.0000	24.3641	24.6528	24.9028	1.0664	0.0000
2024/09/12 09:25:13	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0544	0.0026	5.0000	24.3524	24.6557	24.9076	1.0773	0.0000
2024/09/12 09:25:14	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0564	0.0000	5.0000	24.3657	24.6566	24.9082	1.1104	0.0000
2024/09/12 09:25:15	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0728	0.0218	5.0000	24.3717	24.6384	24.9127	1.1850	0.0000
2024/09/12 09:25:16	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0.0844	0.0044	5.0000	24.3553	24.6578	24.8995	1.0671	0.0000
